GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		path_angle		dr_yaw_angle		psi		atan_tmp		s		triangle_area		distance_a		distance_b		distance_c		x_error
273.84570000		273.85304013		0.00785283		-500		-175.00291920		-174.99811406		86.98626304		273.85304013		173.13322518		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85307276		0.00788547		-500		-175.00285211		-174.99808157		86.98626304		273.85307276		173.13319268		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85356133		0.00837403		-500		-175.00158738		-174.99760515		86.98626304		273.85356133		173.13271626		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85770064		0.02090935		-500		-58.91630174		-174.99345428		86.98626304		273.85770064		173.12856540		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86045535		0.02366406		-500		-126.34998092		-174.99069766		86.98626304		273.86045535		173.12580877		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86385980		0.02706851		-500		-174.99502177		-174.98729791		86.98626304		273.86385980		173.12240903		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86732308		0.03053179		-500		-174.99180657		-174.98383428		86.98626304		273.86732308		173.11894540		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.87140255		0.03461126		-500		-174.98788252		-174.97975765		86.98626304		273.87140255		173.11486876		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84747203		0.03801282		-500		-174.98778590		-175.00368324		86.98626304		273.84747203		173.13879435		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85008906		0.04062985		-500		-174.99037572		-175.00106782		86.98626304		273.85008906		173.13617893		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85311892		0.04365971		-500		-174.99282625		-174.99804103		86.98626304		273.85311892		173.13315214		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85540025		0.04594105		-500		-174.99564005		-174.99575190		86.98626304		273.85540025		173.13086301		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85752989		0.04807069		-500		-174.99886913		-174.99362680		86.98626304		273.85752989		173.12873791		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86023250		0.05077329		-500		-174.99677294		-174.99092728		86.98626304		273.86023250		173.12603839		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86305268		0.05359347		-500		-174.99409501		-174.98810593		86.98626304		273.86305268		173.12321704		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.86684739		0.05738818		-500		-174.99183017		-174.98431640		86.98626304		273.86684739		173.11942751		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.87031096		0.06085175		-500		-174.98931164		-174.98085153		86.98626304		273.87031096		173.11596264		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84841136		0.06398412		-500		-85.62898442		-175.00274158		86.98626304		273.84841136		173.13785270		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.85267816		0.06825092		-500		-49.69692014		-174.99847513		86.98626304		273.85267797		173.13358624		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
